epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
0,-73.42058,0.77,0.0,0.06,0.007814019,99.848,-340.596317118578,0.6867901251149275,0.0,0.0330452670577009,0.08090194481819746,98.31941031624751
1,-47.229176,0.53,0.46,0.4,0.020802593,-29.53876,-1517.7898878560636,0.18325102896479423,0.0,0.05934156347142816,0.8981940707061516,-33.383012073030194
2,-59.43735,0.0,1.0,1.0,0.031460058,-509.00543,-3093.460352768133,0.0010699588238211816,0.0,0.15374485610259903,0.6877835386819801,-519.8855678731031
3,144.4868,0.26,0.96,0.94,0.053650428,-177.23686,-6448.472907423483,0.29921810807269295,0.0,0.04082304481493593,1.7162609066001673,-199.33775568204652
4,-309.60995,1.0,0.0,0.0,0.11440624,1904.5961,-5795.858764146091,1.0,0.0,0.0,3.3662035808641724,1903.2497041176375
5,18.08128,0.06,0.69,0.71,0.665562,-664.06195,-7085.494673112783,0.05526748949608194,0.0,0.1430452676191006,4.166401611924662,-880.4221352157278
6,-304.48633,0.0,0.89,0.87,4.2534437,-2693.706,-8158.891040943287,8.230452490932166e-05,0.0,0.3273662564808449,5.599169962690691,-2887.2367551199204
7,2225.4395,0.0,1.0,1.0,1.6319449,-4136.3506,-5949.5018586837705,0.0,0.0,0.3150205778364291,3.014199611581402,-4386.928878721386
8,-458.28897,0.81,0.0,0.05,0.51885664,2628.8657,-2834.8340054735727,0.8494238674395369,0.0,0.028724279400313833,2.8812863110514826,2589.067327554334
9,-402.27948,0.0,1.0,1.0,0.59548414,-138.75491,-4364.619878070344,0.0011522633487305032,0.0,0.09390946495281571,2.8561377755899,-239.8110595200778
10,-704.8782,0.78,0.0,0.04,0.67590165,2667.6653,-2184.42543864937,0.843827159561738,0.0,0.03699588438365685,3.9899458306316484,2640.8043690120244
11,1383.3792,0.63,0.54,0.32,2.729222,-2095.5303,-4455.927232028035,0.04119341530733638,0.0,0.08444444445027,4.939040588253319,-2487.4644770367154
12,-626.91754,0.03,0.62,0.7,6.897314,-2094.3452,-8752.76358748071,0.01563785977109715,0.0,0.23954732519854244,10.47125333424949,-2032.1942414962705
13,-118.37906,0.12,0.92,0.95,0.8488129,-2412.5398,-9841.722760738168,0.1139917690383554,0.0,0.24156378602049478,5.265966791184351,-2526.082722479424
14,47.530617,0.96,0.02,0.01,0.4859232,3438.569,-4247.273364157343,0.9147325123779078,0.0,0.005473250914135097,5.311126539246045,3283.6086897987398
15,-277.33936,0.63,0.03,0.05,0.31987733,-13.349583,-6532.231505594136,0.11119341572800291,0.0,0.03164609013424243,4.330042701689795,-123.34055322089803
16,36.36931,0.9,0.01,0.0,0.1786056,2416.1025,-4055.0288859551824,0.9267901231232003,0.0,0.0032510287339182057,3.839064942465888,2372.89602422518
17,-90.31227,0.05,1.0,0.99,0.3212388,-2797.1975,-6588.398485725309,0.02032921772158931,0.0,0.3309465028008316,3.152212131170579,-2986.535727920846
18,-255.83916,0.04,0.98,0.97,0.62409145,-2399.016,-6963.44606401106,0.025020575718072705,0.0,0.23905349823305147,3.5082279085622403,-2414.805123537166
19,-183.65753,0.11,0.9,0.95,5.860199,-1479.1205,-7005.287356529707,0.06460905323425929,0.0,0.13823045287357927,23.451442577220774,-1605.8031186704281
20,-194.0286,0.11,0.85,0.86,0.47505555,-924.433,-6656.818954153807,0.07493827180024773,0.0,0.09378600803514321,3.1974000710028188,-1128.0297469778807
21,191.75748,0.97,0.02,0.0,0.5074611,1178.0348,-4864.12985468107,0.9617284011448362,0.0,0.000740740724183895,3.409345220145865,1161.3561017071759
22,-34.463257,0.02,1.0,1.0,0.73966086,-4032.4543,-8333.480792261445,0.018806584010766857,0.0,0.38353909368132366,3.353824624799407,-4016.645222479424
23,-437.77017,0.93,0.05,0.02,6.166537,6304.4956,-994.7619602533034,0.9370781904385413,0.0,0.002427983484824989,37.18527890429085,6211.484967769418
24,-53.534237,0.12,0.9,0.94,1.0584415,-2194.8167,-7128.248414592978,0.06131687225321683,0.0,0.2016872430657163,3.723047080844518,-2189.7540710198045
25,-93.79181,0.94,0.04,0.03,1.1077335,3191.0437,-3275.743626221708,0.9416872459183995,0.0,0.0025514402721889718,4.184639491171503,3214.771454234182
26,-262.085,0.02,0.98,0.99,0.69037926,-3536.326,-7919.915053128215,0.04884773617755974,0.0,0.32008230673923416,4.033577648209937,-3568.1693723074204
27,-231.50551,0.02,0.93,0.99,0.6998405,-2647.2812,-7880.535777150849,0.028312756791097637,0.0,0.19880658418798644,4.540255610344341,-2622.8063281651876
28,-179.07837,0.07,0.92,0.98,0.6697509,-2053.7644,-7724.544375321502,0.040205760962433286,0.0,0.15362139956818688,4.585369315167023,-2206.303160365226
29,-402.79907,0.07,0.9,0.97,0.6355473,-3764.839,-9464.915750385802,0.06744855957358707,0.0,0.27596707936422327,4.864119748519772,-3954.2395361127187
30,-267.76395,0.08,0.92,0.97,0.6328838,-4134.959,-9903.366648984054,0.07082304510253447,0.0,0.3165843633957851,5.058234647468284,-4301.577540268133
31,-296.47934,0.09,0.77,0.86,0.5396855,-1284.8804,-7926.281268084491,0.061440328871946275,0.0,0.08925925936442589,5.216781211978614,-1462.5995335206082
32,-434.69812,0.0,0.96,0.99,0.22667354,-4873.4365,-10085.716579861111,0.04576131656244704,0.0,0.35094650335027355,5.82837730965006,-4995.652144820602
33,-235.33757,0.97,0.0,0.0,0.47462928,1946.5397,-5725.698095502186,0.9414403311019082,0.0,0.0010699588238211816,5.844723128487543,2003.413761091821
34,-120.51708,0.05,0.96,0.99,0.3854498,-4539.377,-10231.291943962191,0.02436213945747648,0.0,0.291440330169819,5.516281944243506,-4568.469059445731
35,347.36426,0.96,0.04,0.0,8.2324705,6400.987,-2848.9022081163193,0.9370370369879797,0.0,0.002633744797098293,8.353372234375879,6372.165593653549
36,-344.83734,0.95,0.0,0.0,0.5050841,3391.8035,-4902.059180491256,0.9355555564287759,0.0,0.0017695472855504158,5.842989503601451,3151.6541602366256
37,-226.86249,0.96,0.0,0.0,0.32489628,2683.7368,-5732.016927083333,0.9437448600682702,0.0,0.0013580246610038075,6.050176048475038,2636.6695682227364
38,59.219196,0.06,0.9,0.89,0.55075276,2393.627,-6410.200428401492,0.9162551468782464,0.0,0.00246913574727965,5.914379217006542,2343.189135641718
39,-185.53172,0.03,0.97,0.98,0.35507923,-3891.1638,-11162.857200842336,0.044485596334370076,0.0,0.24246913568718442,5.955759564544929,-3985.742820457176
40,-204.36755,0.91,0.01,0.0,0.4862059,5046.805,-5010.759086451903,0.9219753097114249,0.0,0.002921810634280919,6.285432399545678,4925.436774610983
41,-198.04825,0.05,0.99,0.98,1.3525,-11602.999,-16715.442836934155,0.05205761293263592,0.0,0.5744855944757108,6.510673483703362,-11975.185538837448
42,157.6481,0.1,0.93,0.97,0.30177274,-3265.3987,-11080.549342528293,0.07341563776748661,0.0,0.22115226304580154,5.2165076055644475,-3428.3094618055557
43,-287.815,0.95,0.03,0.0,6.121236,15693.481,2555.857501496994,0.9303703698111169,0.0,0.003415637783736849,49.1370287294741,15039.036124774948
44,-141.08197,0.01,0.92,0.99,0.5135077,-1716.6656,-10296.374260545268,0.014362139627337456,0.0,0.10823045283126732,4.888240865228598,-1901.0249515737526
45,326.61514,0.06,0.98,1.0,0.14461856,-3507.089,-11445.639399273405,0.057942386632286964,0.0,0.22481481387536711,4.7682209839055565,-3616.595155566808
46,-42.338516,0.91,0.0,0.0,9.673778,2746.886,-6578.793187773277,0.9218518554919051,0.0,0.0019341563353690592,12.264957612434042,2745.731388044946
47,403.43143,0.1,0.95,0.98,0.3478291,-1852.4067,-9903.159420814043,0.08744855973976876,0.0,0.13674897150186355,4.8559053444568026,-1927.9603437258872
48,-201.03654,0.05,0.95,0.99,0.32603267,-4187.5654,-11305.135497042182,0.05609053470684913,0.0,0.27366255156297253,4.612004466508151,-4278.531352478781
49,-91.790665,0.1,0.91,0.96,0.30565062,-1614.1519,-9311.641959233539,0.08061728401899093,0.0,0.1114403293333917,4.63104900705471,-1610.0558177806713
50,485.13025,0.91,0.03,0.0,0.30882606,10314.028,-666.0430923744484,0.93106995860245,0.0,0.0027983538469169367,5.597849579995552,10115.85183577675
51,4.3545127,0.02,0.93,0.95,0.2419149,1115.8868,-7336.148845405735,0.8954320991480792,0.0,0.002386831222370328,4.89085093839669,1072.13137578768
52,-209.22949,0.08,0.97,1.0,0.13012643,-5338.7974,-11951.40901893647,0.03954732470183706,0.0,0.3236625536111157,4.338024413144147,-5497.156135464892
53,110.48311,0.97,0.06,0.01,0.29079163,11384.753,848.2502510008007,0.9446913592609358,0.0,0.0023456789599156673,5.075865409011213,11167.288343139146
54,-19.226633,0.93,0.05,0.01,0.22277124,1895.0502,-6716.540633841307,0.9415637882648672,0.0,0.0013168723985491466,4.892709610393508,1839.1154287832755
55,-274.48553,0.95,0.02,0.0,0.1399722,2666.9043,-6439.3932794013635,0.9500000030415539,0.0,0.0011111110862758425,4.423987779107113,2348.8942047244727
56,-153.4244,0.93,0.0,0.02,0.40410623,2156.88,-6485.546935281636,0.9640740786560278,0.0,0.00045267488700126917,5.159170078152001,2205.9486239711932
57,-777.18243,0.92,0.01,0.01,0.3730657,9087.251,-1665.252465142144,0.9502057636716238,0.0,0.00098765429891186,4.588996492786172,8761.679719650207
58,-1405.9935,0.04,0.95,1.0,0.6567053,-13129.604,-18017.158046392746,0.06123456762865983,4.115226245466083e-05,0.6516872438383691,4.427018354949637,-13663.941759902264
59,9.874439,0.0,0.99,1.0,0.22722661,-627.82513,-8800.433416923868,0.003209876471463545,0.0,0.04288065806031227,3.6089382034270363,-748.9350088614004
60,12.841743,0.95,0.02,0.01,4.415473,3079.7131,-5799.245963139789,0.9344855968844253,0.0,0.0013580246610038075,25.22298914120521,2924.37356328768
61,95.92302,0.02,0.97,1.0,0.16974312,-9675.095,-15098.988783596966,0.04983539072175821,0.0,0.5423868272775485,2.983374850740158,-10143.550033757716
62,226.85773,0.92,0.03,0.01,0.12170975,8792.778,-1536.7014847115724,0.929053497903141,0.0,0.002633744797098293,3.948573933707343,8631.095835744598
63,1601.711,0.06,1.0,1.0,3.5260873,-8749.862,-14110.296653967336,0.02078189264691661,0.0,0.48419752729282456,8.460140999452568,-9001.921678079989
64,-65.94106,0.04,0.72,0.82,0.19597632,67.00627,-7970.159422823431,0.22925925901765196,0.0,0.011646090297664634,2.838047618728606,-64.92677918186894
65,64.282524,0.1,0.89,0.96,0.21704638,-2217.5393,-9536.416469746657,0.10123456773106698,0.0,0.19411522655943295,2.9126493518735157,-2367.479762450167
66,186.91977,0.99,0.0,0.0,0.18069759,3091.1887,-5692.111436631944,0.9886008312182172,0.0,4.115226245466083e-05,2.9659998397277705,3055.0017541956017
67,-89.73664,0.98,0.01,0.0,0.17748344,-127.19413,-7936.631906266075,0.1662139920172868,0.0,0.02386831237700741,2.7096742116865307,-293.7448695932396
68,-107.76725,0.81,0.03,0.01,0.4629754,3547.2922,-5347.152285477752,0.9053086437315607,0.0,0.00395061719564744,2.925900255211096,3486.5682357976466
69,-148.66743,0.03,0.92,0.99,0.14475565,-4650.7686,-11363.676950713734,0.037777777247652106,0.0,0.3164197546832355,2.3815099187348605,-4753.550586339377
70,24.938272,0.07,0.95,0.98,0.34831944,-5063.517,-11679.533166956018,0.06423868287216734,0.0,0.36193415614557856,2.258400648709678,-5285.572080761317
71,-453.62338,0.87,0.08,0.01,0.08136258,9111.503,-1072.076644991651,0.9173662569297194,0.0,0.003909464933192779,2.8772205276253784,8802.768860114455
72,-12.297637,0.0,0.98,1.0,0.08653265,-743.2391,-8375.35519547325,0.00790123439129488,0.0,0.05275720140969557,2.347007520895436,-813.2564096961001
73,216.3158,0.1,0.93,0.98,0.06695487,-1327.5903,-8834.99760480967,0.07349794223107428,0.0,0.08218107013790696,2.177264596209114,-1460.1061333550347
74,-275.18335,0.03,0.94,0.99,0.10656736,-11447.28,-16270.947759934414,0.06757201638394668,0.0,0.5974897104526253,1.794436954176475,-11786.851666988168
75,-925.47577,0.06,0.92,0.97,0.14431573,-11899.633,-16587.350376961163,0.07646090536543126,0.0,0.6341975321494994,1.726863159564297,-12339.844155896348
76,21.048721,0.12,0.92,0.93,0.036122203,-1232.0422,-8627.103869277264,0.11913580254272178,0.0,0.08465020577787372,1.93409224939935,-1261.3375972543724
77,-1.9174219,0.95,0.09,0.01,0.13276953,9279.046,-269.86092518778986,0.9406172846570428,0.0,0.002181069910097024,2.31841259287218,9129.999083719136
78,-66.48708,1.0,0.0,0.0,0.22235516,2475.3247,-5642.631687242799,0.9994238688621992,0.0,0.0,1.7792128493756423,2381.9202715084875
79,1525.5337,0.94,0.06,0.01,0.089308776,10504.857,739.5727394951714,0.9392181075649497,0.0,0.0023045266974610064,2.1032346619500055,10085.336918081275
80,72.791275,0.92,0.04,0.01,0.100758374,1493.4302,-6391.184540171682,0.9061728416646949,0.0,0.002139917647642363,1.6720415922839946,1466.7113991568608
81,-100.32608,0.84,0.06,0.04,0.2882908,2850.5972,-5167.204553674768,0.9041152277601109,0.0,0.0032921809963728666,6.249314578962915,2781.237075617284
82,23.731087,1.0,0.0,0.0,0.16939768,1823.8125,-5567.026248633616,0.9994238688621992,0.0,0.0,1.7409316585878285,1822.973047075939
83,337.41357,0.12,0.93,0.98,2.1411119,-3267.116,-9802.103575906636,0.07119341545696121,0.0,0.2562551445676466,7.054248937363488,-3315.3623810442386
84,222.45001,0.94,0.09,0.01,0.12905958,769.36255,-6562.821154433514,0.8686831257470842,0.0,0.0033744855212821884,1.2198001340092945,705.4503299414866
85,-1146.7688,0.06,0.91,0.99,9.338446,-11284.755,-15794.608583301184,0.06913580234189337,0.0,0.6374485593273806,8.071367972181658,-11683.106095679012
86,-82.81603,0.05,0.99,0.99,0.11116985,-9790.541,-14467.611436631945,0.060082304318255356,0.0,0.5545267474994738,0.8843384582564664,-10038.973584587191
87,-59.384033,0.15,0.88,0.98,7.2879395,-4196.6533,-10497.558674125514,0.08748971180292804,0.0,0.33440329300032723,4.203896200705948,-4390.4903247974535
88,-48.502426,0.08,0.93,0.99,0.059034828,-8575.747,-13583.644125353652,0.07757201640571586,0.0,0.5355144013102653,0.84012409149374,-8640.274783789866
89,-173.06677,0.02,0.92,0.98,8.102062,-4477.131,-10349.574524176955,0.050246913369300435,0.0,0.3597119350001645,7.672356892024538,-4462.399044335134
90,295.78473,0.05,0.98,0.99,4.456917,-1110.9296,-7653.6537844810955,0.01580246879792017,0.0,0.1369547325305242,5.915933746369287,-1183.5142651467656
91,-814.10675,0.91,0.08,0.01,0.03727571,14959.38,4678.239401483732,0.928765432088954,0.0,0.004032921720556762,1.6354816882208052,14452.539576903293
92,-554.1086,0.94,0.07,0.0,0.012771942,14611.005,4712.9899199058,0.9342798357637822,0.0,0.0030864196840995626,1.4557708401248288,14120.939577707048
93,75.387985,0.97,0.0,0.0,0.08533175,3284.3171,-4252.373436696244,0.9849794337778915,0.0,0.000246913574727965,0.9134591400868608,3284.0826350710518
94,-777.5876,0.03,0.91,1.0,3.1279097,-8786.122,-13416.215129083075,0.07753086418925244,0.0,0.5650205756901714,10.518715987970799,-9142.738152649177
95,-6.05175,0.13,0.79,0.81,2.5592644,1500.7701,-5524.8431009677215,0.8977366268880083,0.0,0.0033333332588275275,4.626622694510001,1438.85912834764
96,-180.18893,0.91,0.05,0.01,0.031228712,4106.149,-3711.134072386188,0.9211522647382792,0.0,0.0023045266974610064,0.9727233395654968,3901.199623641654
97,-3.349266,0.1,0.62,0.72,12.397854,3279.6384,-4107.69798398116,0.9202880682768645,0.0,0.0027983538469169367,5.658233946733514,3171.9500667116768
98,63.389706,0.99,0.0,0.0,0.090850316,2317.4033,-4689.268162856867,0.9969958876386101,0.0,0.0,0.6805002228222756,2274.2699562355324
99,56.687103,0.04,0.94,0.99,0.049178913,-8463.615,-12342.841173964764,0.0665020575677907,0.0,0.59098765376664,0.4884329057402081,-8622.5182733732
